Q1_What is your age (# years)?;Q4_What is the highest level of formal education that you have attained or plan to attain within the next 2 years?;Q5_Select the title most similar to your current role;Q6_For how many years have you been writing code and/or programming?;Q8_What programming language would you recommend an aspiring data scientist to learn first?;Q13_Approximately how many times have you used a TPU (tensor processing unit)?;Q15_For how many years have you used machine learning methods?;Q20_What is the size of the company where you are employed?;Q22_Does your current employer incorporate machine learning methods into their business?;Q24_What is your current yearly compensation (approximate $USD)?;Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?;Q32_Which of the following business intelligence tools do you use most often?;Q7_No. of Regular used programming languages?;Q9_No. of Specialized IDE?;Q14_No. of DataViz Libs or Tools?;Q16_No. of ML Framworks?;Q17_No. of ML algorithms?;Q18_No. of Computer Vsion methods?;Q19_No. of NLP methods?;Q26_A No. of Current Cloud platforms?;Q27_A No. of Current Cloud Products?;Q28_A No. of Current ML products?;Q29_A No. of Big Data Tools?;Q31_A No. of BI Tools used?;Q33_A No. of Automted ML Tools?;Q34_A No. of Auto ML Tools?;Q35_A No. of ML Experiment Management?;Q37_No. of Learning Platforms?
35-39;Bachelor’s degree;Software Engineer;10-20 years;R;Never;I do not use machine learning methods;1000-9,999 employees;No (we do not use ML methods);15,000-19,999;z_Not selected;z_Not selected;3;4;1;0;0;0;0;0;0;0;1;0;1;0;1;4
30-34;Master’s degree;Data Scientist;5-10 years;Python;2-5 times;3-4 years;250-999 employees;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;MySQL ;z_Not selected;3;1;3;4;5;0;0;2;2;1;2;1;1;0;1;4
30-34;Master’s degree;Software Engineer;3-5 years;Python;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30-34;Bachelor’s degree;Data Analyst;< 1 years;Python;Never;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
35-39;Doctoral degree;Data Scientist;5-10 years;Python;2-5 times;2-3 years;1000-9,999 employees;We have well established ML methods (i.e., models in production for more than 2 years);70,000-79,999;Microsoft Azure Data Lake Storage ;z_Not selected;3;4;4;5;2;3;0;2;3;1;3;0;1;0;1;5
30-34;Bachelor’s degree;Data Scientist;< 1 years;Python;Once;Under 1 year;50-249 employees;No (we do not use ML methods);$0-999;MySQL ;z_Not selected;2;3;3;5;3;0;0;0;0;0;4;0;1;0;1;4
35-39;Some college/university study without earning a bachelor’s degree;Data Analyst;< 1 years;Python;Never;I do not use machine learning methods;0-49 employees;I do not know;10,000-14,999;z_Not selected;z_Not selected;2;2;1;0;0;0;0;1;1;1;1;1;1;0;1;3
50-54;Master’s degree;Software Engineer;20+ years;Python;Once;1-2 years;50-249 employees;No (we do not use ML methods);150,000-199,999;z_Not selected;z_Not selected;4;3;1;1;2;0;0;0;0;0;0;0;0;0;0;2
30-34;Bachelor’s degree;Software Engineer;10-20 years;Python;Once;5-10 years;0-49 employees;We have well established ML methods (i.e., models in production for more than 2 years);60,000-69,999;PostgresSQL ;z_Not selected;1;2;2;8;4;3;0;0;0;0;2;0;1;1;1;4
35-39;Master’s degree;Data Analyst;5-10 years;SQL;Once;4-5 years;1000-9,999 employees;We use ML methods for generating insights (but do not put working models into production);15,000-19,999;PostgresSQL ;Microsoft Power BI;5;6;6;6;9;4;3;1;0;0;7;4;4;6;4;7
22-24;Master’s degree;Data Scientist;3-5 years;SQL;More than 25 times;1-2 years;1000-9,999 employees;We are exploring ML methods (and may one day put a model into production);4,000-4,999;z_Not selected;Tableau;4;3;1;1;2;0;0;2;2;2;1;2;1;2;1;4
18-21;Bachelor’s degree;Data Scientist;3-5 years;Python;Never;2-3 years;0-49 employees;We have well established ML methods (i.e., models in production for more than 2 years);> $500,000;MySQL ;Tableau;3;2;3;3;4;0;0;1;3;2;2;2;2;2;1;7
25-29;Doctoral degree;Data Analyst;5-10 years;Python;Never;2-3 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1
22-24;Bachelor’s degree;Software Engineer;1-2 years;Python;Never;Under 1 year;0-49 employees;No (we do not use ML methods);$0-999;z_Not selected;z_Not selected;5;4;3;3;4;4;2;0;0;0;0;0;0;0;0;6
25-29;Master’s degree;Data Scientist;5-10 years;Python;2-5 times;1-2 years;0-49 employees;z_Not selected;z_Not selected;z_Not selected;z_Not selected;1;1;4;3;2;1;0;0;0;0;0;0;0;0;0;0
30-34;Master’s degree;Data Scientist;3-5 years;Python;Never;3-4 years;1000-9,999 employees;We have well established ML methods (i.e., models in production for more than 2 years);60,000-69,999;z_Not selected;Microsoft Power BI;2;3;2;4;3;0;0;1;1;1;1;2;4;1;1;3
